Cyberincidentnum,Dyadpair,StateA,StateB,Name,interactionstartdate,interactionenddate,method,targettype,initiator,cyber_objective,information_operation,objective_achievement,Concession ,3rdpartyinitiator,severity,damage type,Crit Inf,Supply Ch,Ransomware,Political Objective,Sources1,Sources2,Sources3,Sources4,Sources5,Justice,Cert,FBI
1,2365,US,Russia,Regin malware campaign,2/1/2008,3/1/2011,3,2,2,3,0,1,0,1,4,2,13,1,0,"Publically available sources claim that Reign malware sophisticated NSA backdoor, known to have infected Russian government networks and steal sensitive information ",https://www.symantec.com/content/dam/symantec/docs/security-center/white-papers/regin-top-tier-espionage-tool-15-en.pdf,https://www.zdnet.com/article/infamous-regin-malware-linked-to-spy-tools-used-by-nsa-five-eyes-intelligence/,https://www.spiegel.de/international/world/regin-malware-unmasked-as-nsa-tool-after-spiegel-publishes-source-code-a-1015255.html,,,,,
2,2365,US,Russia,QWERTY keystroke log,2/1/2008,3/11/2011,4.4,2,2,2,0,1,0,1,4,2,3,1,0,"Publically available sources claim that Part of the Reign campaign, this sophisticated keystroke program was able to steal passwords and access secure networks",https://www.csoonline.com/article/2875739/microsoft-subnet/researchers-link-qwerty-keylogger-code-to-nsa-and-five-eyes-regin-espionage-malware.html,https://www.zdnet.com/article/infamous-regin-malware-linked-to-spy-tools-used-by-nsa-five-eyes-intelligence/,https://www.networkworld.com/article/2876113/link-between-nsa-and-regin-cyberespionage-malware-becomes-clearer.html,,,,,
3,2365,US,Russia,Duke Series_A,4/8/2008,9/17/2015,4.2,2,365,3,0,1,0,0,4,2,11,1,0,Access networks of geopolitical interest to Russia,https://www.f-secure.com/documents/996508/1030745/dukes_whitepaper.pdf,,,,,,,
4,2365,US,Russia,US govt employee in Georgia hacked,8/6/2008,8/12/2008,4.2,2,365,1,1,1,0,0,3,1,13,0,0,To distract US diplomats in Tiblisi during the Five Day Russo-Georgian War of 2008.,http://www.ismlab.usf.edu/isec/files/Georgia-Cyber-Attack-NATO-Aug-2008.pdf,https://www.wired.com/2008/08/georgia-under-o/,,,,,,
5,2365,US,Russia,Agent.bz/CENTCOM ,10/1/2008,10/15/2008,3,3,365,3,0,1,0,0,4,1,6,0,0,Retaliation for the US missile defense system in Europe; penetrate US defense networks ,https://www.wired.com/2010/08/insiders-doubt-2008-pentagon-hack-was-foreign-spy-attack/,,,,,,,
6,2365,US,Russia,Buckshot Yankee,11/26/2008,11/28/2008,4.2,2,2,4,0,1,1,0,4,1,11,0,0,Publically available sources claim that Defensive measure to deter further attempts to steal sensitive information from the Pentagon through raising the potential costs incurred by US retaliation. ,"http://www.washingtonpost.com/wp-dyn/content/article/2010/08/24/AR2010082406495.html, https://apps.dtic.mil/sti/citations/ADA527707, https://www.washingtonpost.com/world/national-security/key-players-in-operation-buckshot-yankee/2011/12/08/gIQASJaSgO_story.html",,,,,,,
7,2365,US,Russia,Sandworm_A,1/1/2009,10/14/2014,3,2,365,3,0,1,0,0,4,2,1,0,0,Network intrusion (zero day exploit),https://www.wired.com/story/russian-hacking-teams-infrastructure/,https://news.sky.com/story/russia-cyber-attacks-what-we-know-so-far-11517151,,,,,,
8,2365,US,Russia,"Power grid hacked, traced to Russia",8/24/2009,8/24/2009,4.2,1,365,4,0,0,0,1,1,1,8,1,0,"To seek a potential vulnerability, or weak point, in the US power grid to exploit, Capability demonstration",https://www.bbc.com/news/technology-44937787,https://www.nytimes.com/2018/07/27/us/politics/russian-hackers-electric-grid-elections-.html,,,,,,
9,2365,US,Russia,Russian Info Swipe_A,1/1/2011,7/1/2014,3,1,365,2,0,1,0,0,3,2,8,1,0,Russia hacks and steals sensitive information from defense contractors in US and Canada and multiple oil company Exxon Mobi and UK's BP,https://www.symantec.com/blogs/threat-intelligence/dragonfly-energy-sector-cyber-attacks,,,,,,,
10,2365,US,Russia,Yahoo breach 2,8/1/2013,12/15/2016,3,1,365,3,0,1,0,0,3,2,13,0,0,"3 billion PII stolen, separate from 2014 breach ",https://www.nytimes.com/2017/10/03/technology/yahoo-hack-3-billion-users.html, https://www.wired.com/story/yahoo-breach-three-billion-accounts/,,,,,,
11,2365,US,Russia,Operation Pawn Storm/World Doping Agency,9/30/2013,10/22/2014,3,2,365,2,1,1,0,0,4,2,11,0,0,"Trojan campaign against Blackwater, State Dept, and SAIC",https://www.trendmicro.com/vinfo/us/security/news/cyber-attacks/operation-pawn-storm-fast-facts, https://blog.trendmicro.com/trendlabs-security-intelligence/tag/operation-pawn-storm/,,,,,,
12,2365,US,Russia,CyberBerkut NATO Websites_A,3/15/2014,3/26/2014,2,3,365,1,1,1,0,0,2,1,11,0,0,Signal NATO members to avoid intervention in Ukraine,https://www.reuters.com/article/us-ukraine-nato/nato-websites-hit-in-cyber-attack-linked-to-crimea-tension-idUSBREA2E0T320140316,https://www.ft.com/content/b822d5cc-ace6-11e3-8ba3-00144feab7de,,,,,,
13,2365,US,Russia,Operation Pawn Storm: military networks (fake OWA),6/2/2014,2/1/2015,3,3,365,2,1,1,0,0,4,2,6,1,0,Backdoor intrusion in to military networks via spear phishing,https://blog.trendmicro.com/trendlabs-security-intelligence/update-pawn-storm-new-targets-politically-motivated-campaigns/,https://fcw.com/articles/2017/04/25/critical-trendmicro-pawn-storm.aspx,,,,,,
