Incident No.,Inclusion Criteria I,Inclusion Criteria II,Source Incident Detection/Disclosure,Source Incident Detection/Disclosure II,Start Date (Year),Start Date (Month),Start Date (Date),End Date (Year),End Date (Month),End Date (Date),Receiver Category I,Receiver Category II,Receiver Category III,Receiver Category IV,Receiver Category V,Receiver Category VI,Receiver Category VII,Receiver Category VIII,Receiver Category IX,Receiver Category X,Receiver Country I,Receiver Country II,Receiver Country III,Receiver Country IV,Receiver Country V,Receiver Country VI,Receiver Country VII,Receiver Country VIII,Receiver Country IX,Receiver Country X,Receiver Regime Type I,Receiver Regime Type II,Receiver Regime Type III,Initiator Category,Name Initiator,Name Initiator II,Initiator Country I,Initiator Country II,Initiator Country III,Initiator Country IV,Initiator Country V,Initiator Regime Type I,Initiator Regime Type II,Attribution Year,Political/Legal Response Year,Attribution Basis I,Attribution Type I,Attribution Basis II,Attribution Type II,Attribution Basis III,Attribution Type III,Attribution Basis IV,Attribution Type IV,Attribution IT-Security Community (category) I,Attribution IT-Security Community (category) II,Attribution IT-Security Community (country) I,Attribution IT-Security Community (country) II,Country of Origin: IT Attribution I,Country of Origin: IT Attribution II,Temporal Attribution Sequence,Cyber-Conflict Issue I,Cyber-Conflict Issue II,Cyber-Conflict Issue III,Cyber-Conflict Issue IV,Offline-Conflict (Intensity) - HIIK,Offline-Conflict (Issue) - HIIK I,Offline-Conflict (Issue) - HIIK II,Offline-Conflict (Issue) - HIIK III,Offline-Conflict (Issue) - HIIK IV,Zero Day(s),Incident Type I,Incident Type II,Incident Type III,Data Theft,Disruption,Hijacking (accessing and controlling a system),Physical Effects (spatial),Physical Effects (temporal),Unweigthed Cyber Intensity,Target/effect multiplier,Weighted Cyber Intensity,Casualties,Sources,Sources Attribution,Sources Politicization,Incident Name,Description
1,2,4,3,na,2000,11,na,2000,11,na,1.9,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Pakistan Hackerz Club,na,PSE,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,0,0,na,na,na,1,1.1,na,na,1,0,0,0,0,1,1,1,0,http://news.bbc.co.uk/2/hi/middle_east/1005850.stm,http://news.bbc.co.uk/2/hi/middle_east/1005850.stm,na,AIPaC Hack,"An anti-Israeli hacker has attacked the website of one of Washington's most powerful lobbying organisations, the American-Israeli Public Affairs Committee (Aipac). "
2,4,na,3,na,2000,1,na,2000,1,na,1.11,7,9,na,na,na,na,na,na,na,ARM,na,na,na,na,na,na,na,na,na,2,na,na,3.3,0,na,AZE,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,4,9,na,na,3,4,9,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://eurasianet.org/nagorno-karabakh-dispute-takes-to-cyber-space,na,na,Cyberwar Azerbaijan-Armenia 2000/Azerbaijani Attack,Azerbaijani Hackers took down and defaced webpages of the Armenian state TV and webpages with information about the Armenia genocide.
3,4,na,3,na,2000,na,na,2000,na,na,4.6,5,6,9,na,na,na,na,na,na,AZE,na,na,na,na,na,na,na,na,na,2,na,na,3.3,Liazor,na,ARM,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,4,9,na,na,3,4,9,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://eurasianet.org/nagorno-karabakh-dispute-takes-to-cyber-space,na,na,Cyberwar Azerbaijan-Armenia 2000/Armenian Counterattack,In response to the previous attack Armenian hacker group Liazor took down the webpages of many Azerbaijani users
4,2,4,3,na,2000,5,20,2000,5,20,1.1,na,na,na,na,na,na,na,na,na,TWN,na,na,na,na,na,na,na,na,na,1,na,na,0,0,na,CHN,na,na,na,na,3,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,2,na,na,na,2,2,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,http://www.hartford-hwp.com/archives/55/105.html,https://nsarchive2.gwu.edu//NSAEBB/NSAEBB424/docs/Cyber-030.pdf,na,Taiwan Election Hack 2000,Chinese hackers succeeded in attacking several government websites after Mr Chen (Taiwanese President) was sworn in on May 20.
5,2,3,3,na,2001,5,na,2001,5,na,1.1,1.11,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Honker Union,na,CHN,na,na,na,na,3,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,11,na,na,na,2,10,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.nytimes.com/2001/05/13/weekinreview/may-6-12-the-first-world-hacker-war.html,https://www.nytimes.com/2001/05/13/weekinreview/may-6-12-the-first-world-hacker-war.html;  https://www.theguardian.com/technology/2001/may/04/china.internationalnews;  https://nsarchive2.gwu.edu//NSAEBB/NSAEBB424/docs/Cyber-030.pdf,https://www.upi.com/Defense-News/2002/10/29/China-prevented-repeat-cyber-attack-on-US/51011035913195/,"""First Sino-US-Cyber-War"" I","After the collision of an American spy plane and a Chinese jet, hackers in the United States and China began defacing Web sites on both sides of the Pacific."
6,2,3,3,na,2001,5,na,2001,5,na,9,na,na,na,na,na,na,na,na,na,CHN,na,na,na,na,na,na,na,na,na,3,na,na,3.3,0,na,USA,na,na,na,na,1,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,11,na,na,na,2,10,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.nytimes.com/2001/05/13/weekinreview/may-6-12-the-first-world-hacker-war.html;  https://www.theguardian.com/technology/2001/may/04/china.internationalnews,https://www.nytimes.com/2001/05/13/weekinreview/may-6-12-the-first-world-hacker-war.html,https://www.upi.com/Defense-News/2002/10/29/China-prevented-repeat-cyber-attack-on-US/51011035913195/,"""First Sino-US-Cyber-War"" II","After the collision of an American spy plane and a Chinese jet, hackers in the United States and China began defacing Web sites on both sides of the Pacific."
7,2,na,3,na,2001,5,na,2001,5,na,4,5,6,na,na,na,na,na,na,na,JPN,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Antijapan,na,KOR,na,na,na,na,1,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,11,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://cmsw.mit.edu/mit2/Abstracts/ducke1.pdf,https://cmsw.mit.edu/mit2/Abstracts/ducke1.pdf,na,Textbook Hack South Korea vs. Japan,DDoS retaliatory campaign over a revisionist WWII Japanese history textbook 
8,2,4,3,na,2001,8,na,2001,8,na,3.4,na,na,na,na,na,na,na,na,na,AFG,na,na,na,na,na,na,na,na,na,3,na,na,3.3,0,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,10,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://books.google.de/books?id=WfIFiEs0HQ8C&pg=PA89&lpg=PA89&dq=Pro-Palestinian+Hackers++AT%26T+2000&source=bl&ots=6Nz36cKrCd&sig=ACfU3U0TW26ZJs-5G40YeBBhv007ioEZNA&hl=de&sa=X&ved=2ahUKEwin8qCYjsbkAhWH3eAKHcMnDbEQ6AEwBnoECAcQAQ#v=onepage&q=Pro-Palestinian%20Hackers%20%20AT%26T%202000&f=false,na,na,Prior 9/11 Taliban Hack,"A couple of weeks bevor 9/11 pro Taliban websites have been defaced by western activists, claiming to do so because of the Taliban`s threats to internet users."
9,2,na,3,na,2001,10,22,2001,10,22,7,na,na,na,na,na,na,na,na,na,IND,na,na,na,na,na,na,na,na,na,1,na,na,3.3,0,na,PAK,na,na,na,na,3,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,4,6,na,4,4,6,7,na,1,2,na,na,0,1,0,0,0,1,1,1,0,http://news.bbc.co.uk/2/hi/south_asia/1617478.stm,http://news.bbc.co.uk/2/hi/south_asia/1617478.stm,na,ZeeNews/India Today Hack 2001,"Website-defacements of Indian news outlets over the criticism of militant groups operating inside Pakistan, and Pakistani-controlled Kashmir."
10,1,4,4,na,2002,na,na,2008,na,na,1.2,1.3,1.9,4.2,6,8,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,1,NSA/Equation Group,na,USA,na,na,na,na,1,na,2013,na,5,3,na,na,na,na,na,na,na,na,na,na,na,na,na,2,na,na,na,0,0,na,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,https://theintercept.com/2014/07/09/under-surveillance/,na,na,NSA vs. US muslims,The NSA spied on prominent muslims in the US
