,full_id,osm_id,osm_type,man_made,maxweight,layer,Damage,geometry
0,w332485252,332485252,way,bridge,,1,1,"LINESTRING (37.6004599 47.152747, 37.6006292 47.152651, 37.601005 47.1524378, 37.6010968 47.1523858, 37.6011149 47.1524006, 37.6011399 47.152421, 37.6011649 47.1524414, 37.6011899 47.1524618, 37.6012114 47.1524793, 37.6010465 47.1525728, 37.6006437 47.1528012, 37.6005745 47.1528404, 37.6005569 47.1528261, 37.6005322 47.152806, 37.6005076 47.1527858, 37.6004829 47.1527657, 37.6004599 47.152747)"
1,w332485380,332485380,way,bridge,,1,0,"LINESTRING (37.5810337 47.1646477, 37.5808958 47.1640683, 37.5809549 47.1640618, 37.581016 47.1640551, 37.5810745 47.1640486, 37.5812124 47.164628, 37.5811551 47.1646343, 37.5810928 47.1646412, 37.5810337 47.1646477)"
2,w411630585,411630585,way,bridge,,1,1,"LINESTRING (37.5590903 47.1138552, 37.5590497 47.1138713, 37.558983 47.1138977, 37.5589333 47.1139174, 37.5588837 47.113937, 37.558834 47.1139567, 37.5587609 47.1139856, 37.5587304 47.1139977, 37.5594 47.1147809, 37.5595036 47.1147399, 37.5595533 47.1147202, 37.5596029 47.1147006, 37.5596526 47.1146809, 37.5597192 47.1146545, 37.5597599 47.1146384, 37.5590903 47.1138552)"
3,w411630586,411630586,way,bridge,10,1,0,"LINESTRING (37.5557036 47.1214551, 37.5556822 47.1210153, 37.5557548 47.1210137, 37.5558274 47.1210121, 37.5558488 47.1214519, 37.5557762 47.1214535, 37.5557406 47.1214539, 37.5557036 47.1214551)"
4,w411639609,411639609,way,bridge,,1,0,"LINESTRING (37.5667645 47.1031362, 37.5667434 47.1031189, 37.5648116 47.1042144, 37.5648327 47.1042317, 37.5648674 47.1042603, 37.5648905 47.1042793, 37.5649251 47.1043079, 37.5649462 47.1043252, 37.5668785 47.1032294, 37.5668574 47.1032121, 37.5668226 47.1031836, 37.5667993 47.1031647, 37.5667645 47.1031362)"
5,w411639610,411639610,way,bridge,,1,1,"LINESTRING (37.5708835 47.1014948, 37.5709052 47.1015287, 37.5709197 47.1015514, 37.5709414 47.1015854, 37.5709544 47.1016058, 37.5710704 47.1015717, 37.5712979 47.1015043, 37.5725499 47.1011336, 37.5725364 47.1011126, 37.5725148 47.1010793, 37.5725002 47.1010568, 37.5724782 47.1010227, 37.5724648 47.101002, 37.5708703 47.1014742, 37.5708835 47.1014948)"
6,w411639611,411639611,way,bridge,,1,1,"LINESTRING (37.6129166 47.1158126, 37.6128924 47.1157612, 37.6128682 47.1157098, 37.6128539 47.1156795, 37.6128331 47.1156356, 37.6128208 47.1156095, 37.6142604 47.115295, 37.6142727 47.1153211, 37.6142939 47.1153658, 37.6143078 47.1153953, 37.614332 47.1154467, 37.6143562 47.1154981, 37.6129166 47.1158126)"
7,w491102282,491102282,way,bridge,,1,0,"LINESTRING (37.5458788 47.1583953, 37.5459115 47.1584012, 37.5459817 47.158414, 37.5461105 47.1584375, 37.5461553 47.1584456, 37.546219 47.1584572, 37.5459775 47.1590702, 37.5459138 47.1590586, 37.5458682 47.1590503, 37.5457408 47.1590271, 37.5456706 47.1590143, 37.5456373 47.1590082, 37.5458788 47.1583953)"
8,w491105177,491105177,way,bridge,,1,1,"LINESTRING (37.5480429 47.1521858, 37.5480266 47.1521459, 37.5480103 47.152106, 37.5479955 47.15207, 37.5489782 47.1518839, 37.5489929 47.1519198, 37.5490096 47.1519605, 37.5490256 47.1519997, 37.5480429 47.1521858)"
9,w491293385,491293385,way,bridge,,1,0,"LINESTRING (37.5378924 47.1687056, 37.5380681 47.1687683, 37.5382914 47.168848, 37.538343 47.1688664, 37.5384277 47.1688967, 37.5384154 47.1685453, 37.5383286 47.1685143, 37.5382764 47.1684957, 37.5380553 47.1684168, 37.5378801 47.1683542, 37.5378924 47.1687056)"
10,w491294164,491294164,way,bridge,,1,1,"LINESTRING (37.5667352 47.1797082, 37.5666913 47.1796357, 37.5666732 47.1796058, 37.5659046 47.1798206, 37.5659228 47.1798506, 37.5659668 47.1799232, 37.5667352 47.1797082)"
11,w491294166,491294166,way,bridge,,1,0,"LINESTRING (37.5570818 47.181624, 37.5570807 47.1816535, 37.557078 47.1817327, 37.558519 47.1817558, 37.5585217 47.1816766, 37.5585228 47.1816471, 37.5570818 47.181624)"
12,w491294168,491294168,way,bridge,,1,0,"LINESTRING (37.5426377 47.1789868, 37.5426254 47.1790145, 37.5425918 47.1790907, 37.5435729 47.1792908, 37.5436065 47.1792146, 37.5436188 47.1791869, 37.5426377 47.1789868)"
13,w520600974,520600974,way,bridge,,1,1,"LINESTRING (37.5912749 47.120932, 37.5913475 47.1209454, 37.5916618 47.1202057, 37.5915878 47.120192, 37.5912749 47.120932)"
14,w600951767,600951767,way,bridge,,1,1,"LINESTRING (37.568 47.1024357, 37.5679789 47.1024184, 37.5675266 47.1026748, 37.5675477 47.1026921, 37.5675826 47.1027206, 37.5676058 47.1027396, 37.5676406 47.1027681, 37.5676617 47.1027854, 37.568114 47.1025289, 37.5680929 47.1025116, 37.5680581 47.1024832, 37.5680349 47.1024642, 37.568 47.1024357)"
15,w600951768,600951768,way,bridge,,1,0,"LINESTRING (37.5369005 47.1516767, 37.5369297 47.151712, 37.5362356 47.1519776, 37.5362064 47.1519423, 37.5369005 47.1516767)"
16,w600951769,600951769,way,bridge,,1,0,"LINESTRING (37.6255929 47.1356814, 37.6256508 47.135705, 37.6247109 47.1367706, 37.6246531 47.136747, 37.6255929 47.1356814)"
17,w601253749,601253749,way,bridge,,1,0,"LINESTRING (37.6306315 47.1372743, 37.6287647 47.13811, 37.6287901 47.1381363, 37.6288369 47.1381848, 37.6307051 47.1373521, 37.6306561 47.1373003, 37.6306315 47.1372743)"
18,w608716906,608716906,way,bridge,,1,0,"LINESTRING (37.6051592 47.1357029, 37.6052196 47.135684, 37.6049301 47.135255, 37.6048697 47.1352739, 37.6051592 47.1357029)"
19,w608716907,608716907,way,bridge,,1,1,"LINESTRING (37.6150784 47.1422987, 37.6151028 47.1423384, 37.6157173 47.1421635, 37.6156929 47.1421238, 37.6150784 47.1422987)"
20,w710707471,710707471,way,bridge,24,1,0,"LINESTRING (37.6241152 47.1081293, 37.6241387 47.1081279, 37.6243789 47.1081134, 37.6244023 47.108112, 37.6243984 47.1080825, 37.6243863 47.1079896, 37.6243747 47.1079007, 37.6243704 47.1078683, 37.624347 47.1078696, 37.6241073 47.1078838, 37.6240838 47.1078852, 37.624088 47.1079173, 37.6240995 47.1080066, 37.6241114 47.1080997, 37.6241152 47.1081293)"
21,w765717444,765717444,way,bridge,,1,1,"LINESTRING (37.5936545 47.09339, 37.5936774 47.0934288, 37.5937002 47.0934676, 37.5937231 47.0935064, 37.5924449 47.0938552, 37.592422 47.0938164, 37.5923992 47.0937776, 37.5923763 47.0937388, 37.5936545 47.09339)"
22,w765717447,765717447,way,bridge,,1,1,"LINESTRING (37.6007715 47.0965218, 37.600808 47.0964868, 37.6008446 47.0964518, 37.6008811 47.0964167, 37.601392 47.0966634, 37.6013555 47.0966985, 37.601319 47.0967335, 37.6012825 47.0967685, 37.6007715 47.0965218)"
23,w765951474,765951474,way,bridge,,1,0,"LINESTRING (37.5417875 47.193665, 37.5418431 47.1936642, 37.5418665 47.1944485, 37.5418108 47.1944493, 37.5417875 47.193665)"
24,w765951475,765951475,way,bridge,,1,0,"LINESTRING (37.5449137 47.189006, 37.5444637 47.1891855, 37.5444322 47.189149, 37.5448821 47.1889695, 37.5449137 47.189006)"
25,w766048307,766048307,way,bridge,,1,0,"LINESTRING (37.564441 47.1671951, 37.5645998 47.167014, 37.5646654 47.1670406, 37.5645066 47.1672217, 37.564441 47.1671951)"
26,w766174869,766174869,way,bridge,,1,0,"LINESTRING (37.574945 47.14301, 37.574983 47.1430478, 37.5741826 47.1434201, 37.5741446 47.1433823, 37.574945 47.14301)"
27,w766174870,766174870,way,bridge,,1,0,"LINESTRING (37.5596918 47.1705219, 37.5597734 47.1705276, 37.5598754 47.1698538, 37.5597938 47.1698481, 37.5596918 47.1705219)"
28,w766174871,766174871,way,bridge,,1,0,"LINESTRING (37.5581004 47.1630476, 37.5581548 47.16307, 37.5582769 47.1631203, 37.5583293 47.1631419, 37.5584492 47.1630075, 37.5583968 47.1629859, 37.5582747 47.1629356, 37.5582202 47.1629131, 37.5581004 47.1630476)"
29,w766174872,766174872,way,bridge,,1,0,"LINESTRING (37.5565932 47.1622121, 37.5566528 47.162237, 37.5567125 47.1622619, 37.5565506 47.1624411, 37.5564909 47.1624162, 37.5564313 47.1623913, 37.5565932 47.1622121)"
30,w766175007,766175007,way,bridge,,1,0,"LINESTRING (37.5726339 47.1444882, 37.5726814 47.1445085, 37.5729319 47.1442375, 37.5728844 47.1442172, 37.5726339 47.1444882)"
31,w768806140,768806140,way,bridge,,1,1,"LINESTRING (37.5656879 47.1131387, 37.5650741 47.1125544, 37.5651823 47.1125018, 37.5652889 47.1124499, 37.5659027 47.1130342, 37.5657961 47.1130861, 37.5656879 47.1131387)"
