,fid,DN,geometry
0,1.0,1,"POLYGON ((37.582751459084605 47.227830000000004, 37.58291812760056 47.227830000000004, 37.58291812760056 47.22766333333333, 37.582751459084605 47.22766333333333, 37.582751459084605 47.227830000000004))"
1,2.0,1,"POLYGON ((37.578084740638005 47.221246666666666, 37.57825140915395 47.221246666666666, 37.57825140915395 47.22108, 37.578084740638005 47.22108, 37.578084740638005 47.221246666666666))"
2,3.0,1,"POLYGON ((37.572668013869624 47.219413333333335, 37.57291801664355 47.219413333333335, 37.57291801664355 47.21924666666667, 37.572668013869624 47.21924666666667, 37.572668013869624 47.219413333333335))"
3,4.0,1,"POLYGON ((37.561584557558945 47.21833, 37.5617512260749 47.21833, 37.5617512260749 47.21816333333334, 37.561584557558945 47.21816333333334, 37.561584557558945 47.21833))"
4,5.0,1,"POLYGON ((37.57158466851595 47.217663333333334, 37.57183467128988 47.217663333333334, 37.57183467128988 47.21741333333333, 37.57158466851595 47.21741333333333, 37.57158466851595 47.217663333333334))"
5,6.0,1,"POLYGON ((37.55800118446602 47.21683, 37.55816785298197 47.21683, 37.55816785298197 47.216746666666666, 37.55800118446602 47.216746666666666, 37.55800118446602 47.21683))"
6,7.0,1,"POLYGON ((37.559917872399446 47.216746666666666, 37.5600845409154 47.216746666666666, 37.5600845409154 47.21633, 37.559917872399446 47.21633, 37.559917872399446 47.216746666666666))"
7,8.0,1,"POLYGON ((37.56891797226075 47.21658, 37.5690846407767 47.21658, 37.5690846407767 47.21633, 37.56891797226075 47.21633, 37.56891797226075 47.21658))"
8,9.0,1,"POLYGON ((37.570334654646324 47.215830000000004, 37.57058465742025 47.215830000000004, 37.57058465742025 47.21549666666667, 37.570334654646324 47.21549666666667, 37.570334654646324 47.215830000000004))"
9,10.0,1,"POLYGON ((37.55741784466019 47.21566333333333, 37.557584513176145 47.21566333333333, 37.557584513176145 47.21549666666667, 37.55741784466019 47.21549666666667, 37.55741784466019 47.21566333333333))"
10,11.0,1,"POLYGON ((37.557084507628296 47.21633, 37.55741784466019 47.21633, 37.55741784466019 47.216163333333334, 37.55725117614424 47.216163333333334, 37.55725117614424 47.21549666666667, 37.557084507628296 47.21549666666667, 37.557084507628296 47.21508, 37.556917839112344 47.21508, 37.556917839112344 47.21533, 37.55675117059639 47.21533, 37.55675117059639 47.21566333333333, 37.55616783079057 47.21566333333333, 37.55616783079057 47.215830000000004, 37.55675117059639 47.215830000000004, 37.55675117059639 47.216163333333334, 37.557084507628296 47.216163333333334, 37.557084507628296 47.21633))"
11,12.0,1,"POLYGON ((37.55866785852982 47.21549666666667, 37.55883452704577 47.21549666666667, 37.55883452704577 47.21533, 37.55866785852982 47.21533, 37.55866785852982 47.21549666666667))"
12,13.0,1,"POLYGON ((37.55908452981969 47.21549666666667, 37.559251198335645 47.21549666666667, 37.559251198335645 47.21533, 37.55908452981969 47.21533, 37.55908452981969 47.21549666666667))"
13,14.0,1,"POLYGON ((37.55725117614424 47.21533, 37.55741784466019 47.21533, 37.55741784466019 47.21508, 37.55725117614424 47.21508, 37.55725117614424 47.21533))"
14,15.0,1,"POLYGON ((37.55883452704577 47.21508, 37.55908452981969 47.21508, 37.55908452981969 47.214913333333335, 37.55883452704577 47.214913333333335, 37.55883452704577 47.21508))"
15,16.0,1,"POLYGON ((37.55583449375867 47.214913333333335, 37.55650116782247 47.214913333333335, 37.55650116782247 47.21474666666667, 37.55616783079057 47.21474666666667, 37.55616783079057 47.21441333333333, 37.55600116227462 47.21441333333333, 37.55600116227462 47.21474666666667, 37.55583449375867 47.21474666666667, 37.55583449375867 47.214913333333335))"
16,18.0,1,"POLYGON ((37.554584479889044 47.214913333333335, 37.554751148404996 47.214913333333335, 37.554751148404996 47.21474666666667, 37.55491781692094 47.21474666666667, 37.55491781692094 47.21441333333333, 37.554584479889044 47.21441333333333, 37.554584479889044 47.21424666666667, 37.55383447156727 47.21424666666667, 37.55383447156727 47.214580000000005, 37.55416780859917 47.214580000000005, 37.55416780859917 47.21474666666667, 37.554584479889044 47.21474666666667, 37.554584479889044 47.214913333333335))"
17,19.0,1,"POLYGON ((37.56858463522885 47.214580000000005, 37.56891797226075 47.214580000000005, 37.56891797226075 47.21441333333333, 37.56858463522885 47.21441333333333, 37.56858463522885 47.214580000000005))"
18,20.0,1,"POLYGON ((37.5690846407767 47.21424666666667, 37.56950131206657 47.21424666666667, 37.56950131206657 47.213663333333336, 37.569251309292646 47.213663333333336, 37.569251309292646 47.21399666666667, 37.5690846407767 47.21399666666667, 37.5690846407767 47.21424666666667))"
19,21.0,1,"POLYGON ((37.55383447156727 47.21399666666667, 37.554001140083216 47.21399666666667, 37.554001140083216 47.21383, 37.55383447156727 47.21383, 37.55383447156727 47.21399666666667))"
20,22.0,1,"POLYGON ((37.55350113453537 47.21383, 37.55383447156727 47.21383, 37.55383447156727 47.213663333333336, 37.55350113453537 47.213663333333336, 37.55350113453537 47.21383))"
