,fid,osm_id,smoothness,lanes,nameru,layer,width,oneway,name,bridge,source,surface,nameen,highway,nameuk,geometry
0,1.0,25314181.0,good,2,Тополиная улица,,,,Тополина вулиця,,,asphalt,Topolyna Street,secondary,Тополина вулиця,"MULTILINESTRING ((37.5502033 47.1492783, 37.5501772 47.1492169, 37.5501363 47.1491291, 37.55007495220588 47.14899666666667), (37.54972663576441 47.148246666666665, 37.5496937 47.1481759, 37.54957644581927 47.147913333333335), (37.54858775928915 47.14574666666667, 37.5485637 47.1456947, 37.54843346218761 47.14541333333333))"
1,2.0,25314182.0,good,2,Головина улица,,,yes,Головіна вулиця,,,asphalt,Holovina Street,secondary,Головіна вулиця,"LINESTRING (37.527750848821086 47.12601373819682, 37.52833418862691 47.126139053098214)"
2,3.0,25314184.0,good,2,Апрельская улица,,,yes,Квітнева вулиця,,,asphalt,Kvitneva Street,secondary,Квітнева вулиця,"LINESTRING (37.528167520110955 47.127747160024654, 37.528093 47.1277306, 37.52800085159501 47.12771012948742)"
3,4.0,25314185.0,good,2,Самолётная улица,,,,Літакова вулиця,,,asphalt,Litakova Street,secondary,Літакова вулиця,"MULTILINESTRING ((37.52666861640647 47.12508, 37.5267088 47.1249898, 37.52691750624133 47.1245211579282), (37.52707686557095 47.124163333333335, 37.52715110052438 47.12399666666666))"
4,5.0,38939561.0,good,1,Шевченко бульвар,,,yes,Шевченка бульвар,,,asphalt,Shevchenka Boulevard,trunk,Шевченка бульвар,"MULTILINESTRING ((37.564417922330094 47.10457231719004, 37.56425125381415 47.10464665753147), (37.56333457697642 47.10504146178378, 37.5626403 47.10534))"
5,6.0,42996427.0,intermediate,2,Большая Морская улица,,,,Велика Морська вулиця,,,asphalt,Velyka Morska Street,tertiary,Велика Морська вулиця,"LINESTRING (37.48743189358899 47.040996666666665, 37.4874048 47.0409593, 37.48733373370319 47.0408925006237)"
6,7.0,42996437.0,good,4,Бахчиванджи улица,,,,Бахчиванджи вулиця,,,asphalt,Bakhchyvandzhy Street,tertiary,Бахчиванджи вулиця,"MULTILINESTRING ((37.499094 47.0937865, 37.4992338 47.0937447, 37.499333 47.0937151, 37.49941720110957 47.09368992936205), (37.501917228848825 47.09294281474187, 37.502417234396674 47.09279341788653), (37.5056672704577 47.09245122153078, 37.5062239 47.0925327, 37.50641727877947 47.09256107083327), (37.50654630210157 47.09258, 37.50691728432732 47.092634427248434), (37.5076672926491 47.0926856363282, 37.5076986 47.0926853, 37.508000629681 47.09266401123295), (37.50915402484477 47.09258, 37.509276 47.092571, 37.5101528 47.0925063, 37.5102159 47.0925016, 37.5106513 47.0924695, 37.51075066019418 47.09246215197862), (37.511834005547854 47.09238211117016, 37.5120323 47.0923675, 37.5121581 47.0923582, 37.51224 47.0923522, 37.51250067961165 47.09233293860083), (37.51308401941748 47.09228982979972, 37.5131398 47.0922857))"
7,8.0,49872143.0,bad,,Майская улица,,,,Травнева вулиця,,,gravel,Travneva Street,residential,Травнева вулиця,"MULTILINESTRING ((37.5224015 47.1889171, 37.52241745631068 47.18891293286305), (37.523373193472075 47.18866333333334, 37.523500801664355 47.18863000728297), (37.52383413869626 47.18854295325833, 37.524000807212204 47.18849942624601), (37.52401137386885 47.188496666666666, 37.52528773466235 47.188163333333335), (37.52541748959778 47.18812944664129, 37.5259259150591 47.18799666666667))"
8,9.0,50448834.0,intermediate,2,,,,,,,,asphalt,,tertiary,,"MULTILINESTRING ((37.50925064355062 47.17305844452773, 37.50918 47.1730095, 37.50908397503468 47.17294428439567), (37.50834741295823 47.17233, 37.5082998 47.17228, 37.508201 47.1721646, 37.50816729819695 47.172121094036065), (37.50773482160087 47.170746666666666, 37.5077085 47.1706957, 37.5076672926491 47.17065002721373))"
9,10.0,55937487.0,good,2,,1,,yes,,yes,,asphalt,,trunk,,"MULTILINESTRING ((37.61372182931637 47.11558, 37.61366846879334 47.1155916573246), (37.613085128987514 47.115719095758145, 37.61295892523583 47.115746666666666))"
10,11.0,55937490.0,good,4,Мира проспект,,,,Миру проспект,,,asphalt,Myru Avenue,tertiary,Миру проспект,"LINESTRING (37.5614266 47.093394, 37.5613175 47.0934164, 37.5610654 47.0934685)"
11,12.0,60812973.0,good,3,Мира проспект,,,yes,Миру проспект,,,asphalt,Myru Avenue,secondary,Миру проспект,"LINESTRING (37.547584402219144 47.0960409512201, 37.5475642 47.0959832, 37.5475424 47.0959206, 37.5475286 47.0958592, 37.5475294 47.0957971, 37.547545 47.0957358, 37.5475819 47.0956682, 37.5476245 47.0956022, 37.5476727 47.095538, 37.5477263 47.0954758, 37.5477858 47.0954162, 37.5478643 47.0953579, 37.54791773925104 47.095328178503316)"
12,13.0,60812975.0,good,4,Мира проспект,,,,Миру проспект,,,asphalt,Myru Avenue,secondary,Миру проспект,"MULTILINESTRING ((37.54733439944521 47.09630700191521, 37.54722255656933 47.09633), (37.54716773092927 47.096341273715105, 37.5471535 47.0963442))"
13,14.0,60827296.0,good,3,Торговая улица,,,,Торгова вулиця,,,asphalt,Torhova Street,secondary,Торгова вулиця,"MULTILINESTRING ((37.5622352 47.1017159, 37.56225430853199 47.10174666666666), (37.56238350300893 47.101913333333336, 37.56252337136812 47.10208), (37.56315277898448 47.10283, 37.5632367 47.10293, 37.56360419116608 47.10333))"
14,15.0,60827297.0,good,3,Митрополитская улица,,,,Митрополитська вулиця,,,asphalt,Mytropolytska Street,tertiary,Митрополитська вулиця,"LINESTRING (37.5524277 47.0991905, 37.5523076 47.0992351, 37.5522464 47.0992576, 37.5518466 47.0994047)"
15,16.0,60844974.0,good,2,Вокзальная улица,,,,Вокзальна вулиця,,,asphalt,Vokzalna Street,tertiary,Вокзальна вулиця,"MULTILINESTRING ((37.5519538 47.0888863, 37.55200111789182 47.08887875656797), (37.554584479889044 47.089169191957545, 37.5546011 47.0891713, 37.5547288 47.0891681, 37.554750035193145 47.08916333333333), (37.554751148404996 47.089163083450515, 37.5548326 47.0891448, 37.5549302 47.0891036, 37.5549841 47.0890607, 37.555019 47.0890137))"
16,17.0,60844975.0,good,2,Греческая улица,,,,Грецька вулиця,,,asphalt,Greek Street,tertiary,Грецька вулиця,"LINESTRING (37.551712753155634 47.08933, 37.5516975 47.0891591, 37.5517042 47.0890915, 37.5517335 47.0890188, 37.5517847 47.0889583, 37.5518617 47.0889137, 37.5519538 47.0888863)"
17,18.0,60844978.0,good,2,Приморский бульвар,,,,Приморський бульвар,,,asphalt,Prymorskyi Boulevard,tertiary,Приморський бульвар,"MULTILINESTRING ((37.54091766158114 47.08331475830615, 37.5408164 47.0832743, 37.54075099306519 47.08324817637888), (37.53283423855756 47.08004109516022, 37.5328315 47.0800399, 37.5326862 47.0799765, 37.5323634 47.0798357, 37.532250898751734 47.07978527554026), (37.53141755617198 47.07941176102368, 37.531004 47.0792264, 37.530927 47.0791918, 37.53066754785021 47.0790755163741), (37.52275079334258 47.074370546940095, 37.52258412482663 47.07425874087268))"
18,19.0,60844979.0,good,2,Лунина проспект,,,,Луніна проспект,,,asphalt,Lunina Avenue,tertiary,Луніна проспект,"LINESTRING (37.51216734257975 47.068454840497616, 37.5120006740638 47.06834074825526)"
19,20.0,60844980.0,good,4,Куинджи улица,,,,Куїнджі вулиця,,,asphalt,Kuindzhy Street,tertiary,Куїнджі вулиця,"MULTILINESTRING ((37.5487670656837 47.092079999999996, 37.5487586 47.0920208, 37.54868371607438 47.091496666666664), (37.548636092107444 47.091163333333334, 37.5486203 47.0910528))"
